filename,desc,id,width,height,mean,median,x_min,y_min
stock-photo-adult-and-child-hands-holding-red-heart-heart-health-donation-happy-volunteer-charity-csr-1487364161.jpg,adult and child hands holding red heart heart health donation happy volunteer charity csr,1487364161,1500,1101,"(156, 164, 158)",194,81,1031
stock-photo-closeup-view-of-woman-with-drawn-flowers-on-green-chalkboard-space-for-text-teacher-s-day-1508523470.jpg,closeup view of woman with drawn flowers on green chalkboard space for text teacher s day,1508523470,1500,1101,"(35, 72, 56)",51,977,314
stock-photo-suicide-prevention-and-childhood-cancer-awareness-yellow-ribbon-for-supporting-people-living-and-1482160559.jpg,suicide prevention and childhood cancer awareness yellow ribbon for supporting people living and,1482160559,1500,1101,"(207, 200, 189)",236,4,0
stock-photo-smart-city-and-abstract-dot-point-connect-with-gradient-line-and-aesthetic-intricate-wave-line-1499306735.jpg,smart city and abstract dot point connect with gradient line and aesthetic intricate wave line,1499306735,1500,724,"(52, 63, 83)",48,18,353
stock-photo-young-joyful-casual-family-of-two-kids-and-couple-sitting-on-sofa-and-watching-funny-video-or-1499295359.jpg,young joyful casual family of two kids and couple sitting on sofa and watching funny video or,1499295359,1500,1101,"(184, 165, 150)",186,44,3
stock-photo-sky-background-on-sunset-nature-abstract-composition-1484678003.jpg,sky background on sunset nature abstract composition,1484678003,1500,1080,"(127, 165, 187)",160,80,1010
stock-photo-architect-team-having-a-discussion-1380294050.jpg,architect team having a discussion,1380294050,1500,945,"(105, 96, 89)",76,693,104
stock-photo-october-breast-cancer-awareness-month-woman-in-pink-t-shirt-with-hand-holding-pink-ribbon-for-1505793707.jpg,october breast cancer awareness month woman in pink t shirt with hand holding pink ribbon for,1505793707,1500,760,"(191, 137, 156)",163,80,690
stock-photo-happy-family-mother-father-children-son-and-daughter-on-nature-on-sunset-1438256546.jpg,happy family mother father children son and daughter on nature on sunset,1438256546,1500,1024,"(173, 153, 121)",161,422,243
stock-photo-skeleton-zombie-hands-rising-out-of-a-cemetery-halloween-background-1495866737.jpg,skeleton zombie hands rising out of a cemetery halloween background,1495866737,1500,790,"(79, 97, 104)",85,74,518
stock-photo-close-up-of-two-businessmen-shaking-hands-in-modern-city-with-double-exposure-of-business-people-1452180959.jpg,close up of two businessmen shaking hands in modern city with double exposure of business people,1452180959,1500,1101,"(161, 170, 188)",189,440,728
stock-photo-zombie-rising-out-of-a-graveyard-cemetery-in-spooky-dark-night-full-moon-holiday-event-halloween-1492357433.jpg,zombie rising out of a graveyard cemetery in spooky dark night full moon holiday event halloween,1492357433,1500,1101,"(47, 64, 81)",46,248,140
stock-photo-view-of-moon-limb-with-earth-rising-on-the-horizon-footprints-as-an-evidence-of-people-being-there-1454730908.jpg,view of moon limb with earth rising on the horizon footprints as an evidence of people being there,1454730908,1500,1101,"(60, 61, 61)",46,272,39
stock-photo-close-up-top-view-of-young-business-people-putting-their-hands-together-stack-of-hands-unity-and-1498583432.jpg,close up top view of young business people putting their hands together stack of hands unity and,1498583432,1500,940,"(150, 159, 172)",183,839,68
stock-photo-nature-shots-for-the-pros-1506854450.jpg,nature shots for the pros,1506854450,1500,1101,"(90, 102, 109)",76,81,1031
stock-photo-hurricane-dorian-in-the-carribean-sea-on-its-way-to-us-mainland-in-august-elements-of-this-1492317566.jpg,hurricane dorian in the carribean sea on its way to us mainland in august elements of this,1492317566,1500,1101,"(82, 89, 102)",60,281,242
stock-photo-top-view-of-beautiful-young-woman-sleeping-cozily-on-a-bed-in-his-bedroom-at-night-blue-nightly-1427337869.jpg,top view of beautiful young woman sleeping cozily on a bed in his bedroom at night blue nightly,1427337869,1500,945,"(32, 44, 53)",35,80,875
stock-photo-lipstick-smear-smudge-swatch-isolated-on-white-background-cream-makeup-texture-bright-red-color-1471402472.jpg,lipstick smear smudge swatch isolated on white background cream makeup texture bright red color,1471402472,1500,915,"(217, 170, 172)",255,0,0
stock-photo-happy-dussehra-greeting-card-green-leaf-rice-1497972686.jpg,happy dussehra greeting card green leaf rice,1497972686,1500,1101,"(208, 156, 33)",175,81,1031
stock-photo-nice-attractive-stylish-cheerful-cheery-positive-carefree-guys-ladies-having-fun-hanging-out-best-1436812790.jpg,nice attractive stylish cheerful cheery positive carefree guys ladies having fun hanging out best,1436812790,1500,1101,"(65, 68, 116)",46,81,1031
