Nazwa pliku,Opis zawartości zdjęcia (separator “-” należy zamienić na spację),Id zdjęcia,Wysokość,Szerokość,Średni kolor,Mediana jasności po przekonwertowaniu na odcienie szarości,Pozioma współrzędna najjaśnieszego pixela po przekonwertowaniu na odcienie szarości*,Pionowa współrzędna najjaśnieszego pixela po przekonwertowaniu na odcienie szarości*
stock-photo-closeup-view-of-woman-with-drawn-flowers-on-green-chalkboard-space-for-text-teacher-s-day-1508523470.jpg,stock photo closeup view of woman with drawn flowers on green chalkboard space for text teacher s day 1508523470,0,1101,1500,[56.3319455  72.42483015 35.41184741],52,977,314
stock-photo-view-of-moon-limb-with-earth-rising-on-the-horizon-footprints-as-an-evidence-of-people-being-there-1454730908.jpg,stock photo view of moon limb with earth rising on the horizon footprints as an evidence of people being there 1454730908,1,1101,1500,[61.12141992 61.54443899 60.34542113],46,272,39
stock-photo-nice-attractive-stylish-cheerful-cheery-positive-carefree-guys-ladies-having-fun-hanging-out-best-1436812790.jpg,stock photo nice attractive stylish cheerful cheery positive carefree guys ladies having fun hanging out best 1436812790,2,1101,1500,[116.95715531  68.12446624  65.12978202],46,81,1031
stock-photo-young-joyful-casual-family-of-two-kids-and-couple-sitting-on-sofa-and-watching-funny-video-or-1499295359.jpg,stock photo young joyful casual family of two kids and couple sitting on sofa and watching funny video or 1499295359,3,1101,1500,[150.26161368 165.12994853 184.20725583],186,44,3
stock-photo-close-up-top-view-of-young-business-people-putting-their-hands-together-stack-of-hands-unity-and-1498583432.jpg,stock photo close up top view of young business people putting their hands together stack of hands unity and 1498583432,4,940,1500,[172.64649645 159.32835745 150.33435106],184,834,57
stock-photo-sky-background-on-sunset-nature-abstract-composition-1484678003.jpg,stock photo sky background on sunset nature abstract composition 1484678003,5,1080,1500,[187.59124568 165.44296543 127.06730432],161,80,1010
stock-photo-nature-shots-for-the-pros-1506854450.jpg,stock photo nature shots for the pros 1506854450,6,1101,1500,[109.11656434 102.5837033   90.36532304],77,81,1031
stock-photo-zombie-rising-out-of-a-graveyard-cemetery-in-spooky-dark-night-full-moon-holiday-event-halloween-1492357433.jpg,stock photo zombie rising out of a graveyard cemetery in spooky dark night full moon holiday event halloween 1492357433,7,1101,1500,[81.42522858 64.83295852 47.47132788],46,248,140
stock-photo-happy-family-mother-father-children-son-and-daughter-on-nature-on-sunset-1438256546.jpg,stock photo happy family mother father children son and daughter on nature on sunset 1438256546,8,1024,1500,[121.89294792 153.86528451 173.92403125],161,411,255
stock-photo-close-up-of-two-businessmen-shaking-hands-in-modern-city-with-double-exposure-of-business-people-1452180959.jpg,stock photo close up of two businessmen shaking hands in modern city with double exposure of business people 1452180959,9,1101,1500,[188.63827975 170.04455101 161.04649167],190,440,728
stock-photo-smart-city-and-abstract-dot-point-connect-with-gradient-line-and-aesthetic-intricate-wave-line-1499306735.jpg,stock photo smart city and abstract dot point connect with gradient line and aesthetic intricate wave line 1499306735,10,724,1500,[83.8244825  63.77828545 52.55219613],48,18,353
stock-photo-hurricane-dorian-in-the-carribean-sea-on-its-way-to-us-mainland-in-august-elements-of-this-1492317566.jpg,stock photo hurricane dorian in the carribean sea on its way to us mainland in august elements of this 1492317566,11,1101,1500,[102.35578383  89.27925341  82.22452861],61,281,242
stock-photo-top-view-of-beautiful-young-woman-sleeping-cozily-on-a-bed-in-his-bedroom-at-night-blue-nightly-1427337869.jpg,stock photo top view of beautiful young woman sleeping cozily on a bed in his bedroom at night blue nightly 1427337869,12,945,1500,[53.38761481 44.92429771 32.21170088],35,80,875
stock-photo-adult-and-child-hands-holding-red-heart-heart-health-donation-happy-volunteer-charity-csr-1487364161.jpg,stock photo adult and child hands holding red heart heart health donation happy volunteer charity csr 1487364161,13,1101,1500,[158.74056191 164.24507296 156.17867938],194,81,1031
stock-photo-architect-team-having-a-discussion-1380294050.jpg,stock photo architect team having a discussion 1380294050,14,945,1500,[ 89.41376085  96.59588924 105.74683245],77,693,104
stock-photo-skeleton-zombie-hands-rising-out-of-a-cemetery-halloween-background-1495866737.jpg,stock photo skeleton zombie hands rising out of a cemetery halloween background 1495866737,15,790,1500,[104.23222278  97.81092911  79.13039831],86,83,516
stock-photo-october-breast-cancer-awareness-month-woman-in-pink-t-shirt-with-hand-holding-pink-ribbon-for-1505793707.jpg,stock photo october breast cancer awareness month woman in pink t shirt with hand holding pink ribbon for 1505793707,16,760,1500,[156.71053596 137.74961228 191.06871404],164,80,690
stock-photo-suicide-prevention-and-childhood-cancer-awareness-yellow-ribbon-for-supporting-people-living-and-1482160559.jpg,stock photo suicide prevention and childhood cancer awareness yellow ribbon for supporting people living and 1482160559,17,1101,1500,[189.81397215 200.04516803 207.49902816],236,4,0
stock-photo-lipstick-smear-smudge-swatch-isolated-on-white-background-cream-makeup-texture-bright-red-color-1471402472.jpg,stock photo lipstick smear smudge swatch isolated on white background cream makeup texture bright red color 1471402472,18,915,1500,[172.82903024 170.2532204  217.76155483],255,0,0
stock-photo-happy-dussehra-greeting-card-green-leaf-rice-1497972686.jpg,stock photo happy dussehra greeting card green leaf rice 1497972686,19,1101,1500,[ 33.11795459 156.80602785 208.3631208 ],176,81,1031
